"";"DonorName";"RecipientName";"DonorCode";"RecipientCode";"IncomegroupName";"USD_Commitment_Defl";"USD_Received_Defl";"ShortDescription";"AgencyName";"FlowCode";"SectorCode";"ProjectTitle";"PurposeName";"SectorName";"ChannelName";"ChannelReportedName";"ExpectedStartDate";"CompletionDate";"LongDescription";"CommitmentDate";"USD_GrantEquiv";"USD_Disbursement_Defl";"Recipientstat SI.SPR.PCAP";"Recipientstat SI.POV.XPND.MD";"Recipientstat SP.POP.TOTL";"Recipientstat AG.SRF.TOTL.K2";"Recipientstat SI.SPR.PCAP";"Recipientstat SI.POV.XPND.MD";"Recipientstat SP.POP.TOTL";"Recipientstat AG.SRF.TOTL.K2"
10841;"Germany";"Tanzania";"5";"282";"LDCs";"";0.0;"REGIONAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1975-01-04";"";"";"1974-12-01";"";0.144685;"";"";"";"";"";"";"";""
10842;"Germany";"Tanzania";"5";"282";"LDCs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-03";"";"";"1974-04-01";"";3.9457;"";"";"";"";"";"";"";""
10866;"Germany";"Bolivia";"5";"428";"LMICs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-04";"";"";"1974-04-01";"";7.76293;"";"";"";"";"";"";"";""
10878;"Germany";"Ethiopia";"5";"238";"LDCs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1972-01-01";"";"";"1975-12-01";"";2.57593;"";"";"";"";"";"";"";""
10884;"Germany";"Kenya";"5";"248";"LMICs";"";0.0;"MOMBASA/COSTAL AREA";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-03";"";"";"1975-11-01";"";8.92717;"";"";"";"";"";"";"";""
10890;"Germany";"Egypt";"5";"142";"LMICs";81.1315;0.0;"WATERWORKS/DISTRIB.TRUNKS";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-05";"";"";"1977-05-01";"";8.6662;"";"";"";"";"";"";"";""
10924;"Germany";"Tanzania";"5";"282";"LDCs";"";0.0;"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1973-01-03";"";"";"1973-05-01";"";10.1901;"";"";"";"";"";"";"";""
14271;"Germany";"Egypt";"5";"142";"LMICs";"";0.0;"WATERWORKS/DISTRIB.TRUNKS";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-05";"";"";"1977-05-01";"";5.64535;"";"";"";"";"";"";"";""
14274;"Germany";"Kenya";"5";"248";"LMICs";"";0.0;"MOMBASA/COSTAL AREA";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-03";"";"";"1975-11-01";"";26.4207;"";"";"";"";"";"";"";""
14277;"Germany";"Kenya";"5";"248";"LMICs";"";0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-03";"";"";"1977-10-01";"";1.64411;"";"";"";"";"";"";"";""
14289;"Germany";"Ethiopia";"5";"238";"LDCs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-04";"";"";"1975-12-01";"";0.975498;"";"";"";"";"";"";"";""
14290;"Germany";"Ethiopia";"5";"238";"LDCs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1972-01-01";"";"";"1975-12-01";"";0.829239;"";"";"";"";"";"";"";""
14304;"Germany";"Sudan";"5";"278";"LDCs";"";0.0;"WATER DEVELOPMENT";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-01";"";"";"1976-04-01";"";4.45961;"";"";"";"";"";"";"";""
14311;"Germany";"Tanzania";"5";"282";"LDCs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-03";"";"";"1974-04-01";"";7.02307;"";"";"";"";"";"";"";""
14312;"Germany";"Tanzania";"5";"282";"LDCs";"";0.0;"REGIONAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1975-01-04";"";"";"1974-12-01";"";2.31795;"";"";"";"";"";"";"";""
14315;"Germany";"Tanzania";"5";"282";"LDCs";4.04825;0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1978-01-01";"";"";"1978-03-01";"";3.15503;"";"";"";"";"";"";"";""
14318;"Germany";"Bolivia";"5";"428";"LMICs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-04";"";"";"1974-04-01";"";6.31397;"";"";"";"";"";"";"";""
14326;"Germany";"Kenya";"5";"248";"LMICs";"";0.0;"WATER AND SEWERAGE";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1977-01-03";"";"";"1977-10-01";"";1.79429;"";"";"";"";"";"";"";""
14359;"Germany";"Tanzania";"5";"282";"LDCs";"";0.0;"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1973-01-03";"";"";"1973-05-01";"";12.7115;"";"";"";"";"";"";"";""
17811;"Germany";"Lebanon";"5";"555";"UMICs";"";0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-05";"";"";"1977-09-01";"";1.32119;"";"";"";"";"";"";"";""
17814;"Germany";"Bolivia";"5";"428";"LMICs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-04";"";"";"1974-04-01";"";3.08445;"";"";"";"";"";"";"";""
17828;"Germany";"Tanzania";"5";"282";"LDCs";"";0.0;"REGIONAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1975-01-04";"";"";"1974-12-01";"";4.33551;"";"";"";"";"";"";"";""
17829;"Germany";"Tanzania";"5";"282";"LDCs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-03";"";"";"1974-04-01";"";0.0325602;"";"";"";"";"";"";"";""
17830;"Germany";"Tanzania";"5";"282";"LDCs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-03";"";"";"1974-04-01";"";2.82397;"";"";"";"";"";"";"";""
17831;"Germany";"Sudan";"5";"278";"LDCs";"";0.0;"WATER DEVELOPMENT";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-01";"";"";"1976-04-01";"";0.432048;"";"";"";"";"";"";"";""
17840;"Germany";"Egypt";"5";"142";"LMICs";"";0.0;"WATERWORKS/DISTRIB.TRUNKS";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-05";"";"";"1977-05-01";"";15.307;"";"";"";"";"";"";"";""
17846;"Germany";"Kenya";"5";"248";"LMICs";"";0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-03";"";"";"1977-10-01";"";0.269247;"";"";"";"";"";"";"";""
17847;"Germany";"Kenya";"5";"248";"LMICs";"";0.0;"MOMBASA/COSTAL AREA";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-03";"";"";"1975-11-01";"";10.9377;"";"";"";"";"";"";"";""
17857;"Germany";"Ethiopia";"5";"238";"LDCs";"";0.207884;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1972-01-01";"";"";"1975-12-01";"";0.949254;"";"";"";"";"";"";"";""
17858;"Germany";"Ethiopia";"5";"238";"LDCs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-04";"";"";"1975-12-01";"";0.787705;"";"";"";"";"";"";"";""
17866;"Germany";"Kenya";"5";"248";"LMICs";"";0.0;"WATER AND SEWERAGE";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1977-01-03";"";"";"1977-10-01";"";0.786453;"";"";"";"";"";"";"";""
17880;"Germany";"Tanzania";"5";"282";"LDCs";"";0.0;"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1973-01-03";"";"";"1973-05-01";"";2.42072;"";"";"";"";"";"";"";""
21677;"Germany";"Egypt";"5";"142";"LMICs";"";0.0;"WATERWORKS/DISTRIB.TRUNKS";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-05";"";"";"1977-05-01";"";14.1155;"";"";"";"";"";"";"";""
21682;"Germany";"Kenya";"5";"248";"LMICs";"";0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-03";"";"";"1977-10-01";"";0.941749;"";"";"";"";"";"";"";""
21686;"Germany";"Kenya";"5";"248";"LMICs";"";0.0;"MOMBASA/COSTAL AREA";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-03";"";"";"1975-11-01";"";0.0961937;"";"";"";"";"";"";"";""
21692;"Germany";"Ethiopia";"5";"238";"LDCs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-04";"";"";"1975-12-01";"";5.77044;"";"";"";"";"";"";"";""
21693;"Germany";"Ethiopia";"5";"238";"LDCs";"";0.394276;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1972-01-01";"";"";"1975-12-01";"";1.23033;"";"";"";"";"";"";"";""
21739;"Germany";"Lebanon";"5";"555";"UMICs";"";0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-05";"";"";"1977-09-01";"";1.94525;"";"";"";"";"";"";"";""
21742;"Germany";"Bolivia";"5";"428";"LMICs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-04";"";"";"1974-04-01";"";0.513033;"";"";"";"";"";"";"";""
21761;"Germany";"Kenya";"5";"248";"LMICs";"";0.0;"WATER AND SEWERAGE";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1977-01-03";"";"";"1977-10-01";"";0.312333;"";"";"";"";"";"";"";""
25992;"Germany";"Egypt";"5";"142";"LMICs";"";0.0;"WATERWORKS/DISTRIB.TRUNKS";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-05";"";"";"1977-05-01";"";1.80458;"";"";"";"";"";"";"";""
25999;"Germany";"Ethiopia";"5";"238";"LDCs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-04";"";"";"1975-12-01";"";4.29772;"";"";"";"";"";"";"";""
26000;"Germany";"Ethiopia";"5";"238";"LDCs";"";0.567709;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1972-01-01";"";"";"1975-12-01";"";0.324894;"";"";"";"";"";"";"";""
26030;"Germany";"Kenya";"5";"248";"LMICs";"";0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-03";"";"";"1977-10-01";"";1.46259;"";"";"";"";"";"";"";""
26045;"Germany";"Bolivia";"5";"428";"LMICs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-04";"";"";"1974-04-01";"";0.51755;"";"";"";"";"";"";"";""
26052;"Germany";"Lebanon";"5";"555";"UMICs";"";0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-05";"";"";"1977-09-01";"";2.05766;"";"";"";"";"";"";"";""
26061;"Germany";"Kenya";"5";"248";"LMICs";"";0.0;"WATER AND SEWERAGE";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1977-01-03";"";"";"1977-10-01";"";1.76697;"";"";"";"";"";"";"";""
30928;"Germany";"Bolivia";"5";"428";"LMICs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-04";"";"";"1974-04-01";"";1.05298;"";"";"";"";"";"";"";""
30936;"Germany";"Lebanon";"5";"555";"UMICs";"";0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-05";"";"";"1977-09-01";"";0.929806;"";"";"";"";"";"";"";""
30959;"Germany";"Kenya";"5";"248";"LMICs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1980-01-03";"";"";"1980-09-01";"";4.31112;0.0;0.0;16417197.0;580370.0;0.0;0.0;16417197.0;580370.0
30960;"Germany";"Kenya";"5";"248";"LMICs";"";0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-03";"";"";"1977-10-01";"";0.344453;"";"";"";"";"";"";"";""
30993;"Germany";"Ethiopia";"5";"238";"LDCs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-04";"";"";"1975-12-01";"";3.4478;"";"";"";"";"";"";"";""
31008;"Germany";"Egypt";"5";"142";"LMICs";"";0.0;"WATERWORKS/DISTRIB.TRUNKS";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-05";"";"";"1977-05-01";"";1.45412;"";"";"";"";"";"";"";""
31039;"Germany";"India";"5";"645";"LMICs";"";0.0;"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1982-01-03";"";"";"1981-12-01";"";2.31307;0.0;0.0;715384993.0;3287260.0;0.0;0.0;715384993.0;3287260.0
36274;"Germany";"Lebanon";"5";"555";"UMICs";"";0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-05";"";"";"1977-09-01";"";0.499387;"";"";"";"";"";"";"";""
36282;"Germany";"Bolivia";"5";"428";"LMICs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-04";"";"";"1974-04-01";"";0.163282;"";"";"";"";"";"";"";""
36286;"Germany";"Kenya";"5";"248";"LMICs";"";0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1982-01-03";"";"";"1981-11-01";"";2.07707;0.0;0.0;17063876.0;580370.0;0.0;0.0;17063876.0;580370.0
36287;"Germany";"Kenya";"5";"248";"LMICs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1980-01-03";"";"";"1980-09-01";"";1.88728;0.0;0.0;16417197.0;580370.0;0.0;0.0;16417197.0;580370.0
36288;"Germany";"Kenya";"5";"248";"LMICs";"";0.0;"WATER SUPPLY, MALINDI";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-01";"";"";"1982-10-01";"";0.220536;0.0;0.0;17736326.0;580370.0;0.0;0.0;17736326.0;580370.0
36291;"Germany";"Kenya";"5";"248";"LMICs";"";0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-03";"";"";"1977-10-01";"";0.35413;"";"";"";"";"";"";"";""
36318;"Germany";"Egypt";"5";"142";"LMICs";"";0.0;"WATERWORKS/DISTRIB.TRUNKS";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-05";"";"";"1977-05-01";"";6.71681;"";"";"";"";"";"";"";""
36326;"Germany";"Ethiopia";"5";"238";"LDCs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1976-01-04";"";"";"1975-12-01";"";0.771877;"";"";"";"";"";"";"";""
36344;"Germany";"Kenya";"5";"248";"LMICs";"";0.0;"WATER AND SEWERAGE";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1977-01-03";"";"";"1977-10-01";"";1.25642;"";"";"";"";"";"";"";""
36347;"Germany";"Colombia";"5";"437";"UMICs";6.89176;0.0;"WATER AND SEWERAGE";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1984-01-03";"";"";"1983-03-01";"";1.14297;0.0;0.0;28714183.0;1141750.0;0.0;0.0;28714183.0;1141750.0
36381;"Germany";"India";"5";"645";"LMICs";"";0.0;"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1982-01-03";"";"";"1981-12-01";"";4.4086;0.0;0.0;715384993.0;3287260.0;0.0;0.0;715384993.0;3287260.0
41709;"Germany";"Bolivia";"5";"428";"LMICs";"";0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1974-01-04";"";"";"1974-04-01";"";0.939791;"";"";"";"";"";"";"";""
41757;"Germany";"Egypt";"5";"142";"LMICs";"";0.0;"WATERWORKS/DISTRIB.TRUNKS";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1977-01-05";"";"";"1977-05-01";"";12.7568;"";"";"";"";"";"";"";""
41779;"Germany";"Kenya";"5";"248";"LMICs";"";0.0;"WATER SUPPLY, MALINDI";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-01";"";"";"1982-10-01";"";0.966821;0.0;0.0;17736326.0;580370.0;0.0;0.0;17736326.0;580370.0
