DonorName,RecipientName,IncomegroupName,USD_Commitment_Defl,USD_Received_Defl,ShortDescription,ChannelName,ChannelReportedName,CommitmentDate
Germany,Ethiopia,LDCs,10.0778,,"WATER SUPPLY, 12 PROVINC. TOWNS",,,1985-05-01
Germany,Egypt,LMICs,95.0778,0.0,WATER SUPPLY,,,1985-06-01
Germany,Egypt,LMICs,6.718560000000001,,WATER SUPPLY,,,1985-06-01
Germany,Kenya,LMICs,5.08982,,"WATER SUPPLY, KITALE",,,1985-05-01
Germany,Kenya,LMICs,5.497000000000001,,"WATER SUPPLY, KERICHO",,,1985-05-01
Germany,Rwanda,LDCs,3.3592800000000005,,CANAL PROTECTION,,,1985-11-01
Germany,Sudan,LDCs,10.7904,,RURAL WATER SUPPLY,,,1985-07-01
Germany,Sudan,LDCs,24.3293,,RURAL WATER SUPPLY,,,1985-02-01
Germany,Bolivia,LMICs,4.44746,0.0,SANITATION PROG.,,,1986-10-01
Germany,Sudan,LDCs,2.96497,,"REFUGEES AID, WATER SUPPLY",,,1986-03-01
Germany,Sudan,LDCs,11.0692,,"REFUGEES AID, WATER SUPPLY",,,1986-03-01
Germany,Burundi,LDCs,7.41243,,RURAL WATER SUPPLY,,,1986-01-01
Germany,Colombia,UMICs,11.8599,0.0,EROSION CONTROL PROG.,,,1986-01-01
Germany,Kenya,LMICs,2.53716,,WATER AND SEWERAGE,,,1987-02-01
Germany,India,LMICs,43.9124,0.0,RURAL WATER SUP. MADHYA PRADESH,,,1987-08-01
Germany,Burundi,LDCs,4.79805,,GITEGA WATER SUPPLY,,,1988-01-01
Germany,Tanzania,LDCs,1.91922,,"WATER SUPPLY SYST. EXT., ARUSHA",,,1988-11-01
Germany,Sudan,LDCs,10.0759,,WATER SUPPLY,,,1988-07-01
Germany,Bolivia,LMICs,13.9144,0.0,WATER SUPPLY,,,1988-12-01
Germany,Burundi,LDCs,5.27786,,RURAL WATER SUPPLY,,,1988-07-01
Germany,Burundi,LDCs,5.27786,,RURAL WATER SUPPLY,,,1988-07-01
Germany,Bolivia,LMICs,6.99567,0.0,WATER SUPPLY,,REPUBLIC OF BOLIVIA,1989-05-01
Germany,Kenya,LMICs,33.1128,0.0,WATER SUPPLY,,,1989-01-01
Germany,Egypt,LMICs,3.1574,,WATER SUPPLY,,,1990-07-01
Germany,Tanzania,LDCs,1.80423,,"WATER SUPPLY, TABORA",,,1990-11-01
Germany,Tanzania,LDCs,3.60846,,WATER SUPPLY,,,1990-04-01
Germany,Kenya,LMICs,9.92326,0.0,SANITATION PROJECT,,,1990-01-01
Germany,Uganda,LDCs,10.8254,,RURAL WATER & SEWERAGE,,,1990-03-01
Germany,Rwanda,LDCs,23.0192,,RURAL WATER & SEWERAGE,,,1990-04-01
Germany,Tanzania,LDCs,1.31267,,"WATER SUPPLY, ARUSHA",,,1991-04-01
Germany,Tanzania,LDCs,0.875116,,"WATER SUPPLY, ARUSHA",,,1991-04-01
Germany,Burundi,LDCs,8.3136,,WATER SUPPLY,,,1991-03-01
Germany,Bolivia,LMICs,20.1277,,SEWERAGE TREATMENT,,,1991-06-01
Germany,Tanzania,LDCs,2.18779,,"WATER & SEWERAGE, ARUSHA",,,1991-04-01
Germany,Sudan,LDCs,4.37558,,RURAL WATER SUPPLY,,,1991-11-01
Germany,Ethiopia,LDCs,10.8039,,WATER SUPPLY,,,1992-11-01
Germany,Burundi,LDCs,23.2698,,WATER AND SEWERAGE,,,1992-01-01
Germany,Egypt,LMICs,16.6213,,"WATER SUPPLY, KAFREL SHEIKH",,,1992-12-01
Germany,Tanzania,LDCs,1.66213,0.0,WATER AND SEWERAGE,,,1992-01-01
Germany,Sudan,LDCs,1.91145,0.0,RURAL WATER SUPPLY,,,1992-10-01
Germany,Sudan,LDCs,2.24388,,RURAL WATER SUPPLY,,,1992-10-01
Germany,Tanzania,LDCs,0.831066,,RURAL WATER SUPPLY,,,1992-12-01
Germany,Bolivia,LMICs,1.6000299999999998,,WATER SUPPLY,,REPUBLIC OF BOLIVIA,1993-12-01
Germany,Burundi,LDCs,1.6000299999999998,,"DRINKING WATER,RUMONGE/MUYINGA",,,1993-01-01
Germany,Bolivia,LMICs,1.5678299999999998,,REHABILITATION OF CANAL RAVELO,,MINISTERIO DE HACIENDA,1994-03-01
Germany,India,LMICs,15.6783,,"WATERSHED DEVELOPMENT, KARNATAKA",,DEP AGRICULTURE+HORTICUL GVMT KARNA,1994-06-01
Germany,Bolivia,LMICs,0.313566,,WATER SUPPLY/SEWAGE TREATMENT,,MINISTERIO DE HACIENDA,1994-12-01
Germany,Bolivia,LMICs,14.5808,0.0,WATER SUPPLY/SEWAGE TREATMENT,,MINISTERIO DE HACIENDA,1994-12-01
Germany,India,LMICs,43.1153,0.0,RAJASTHAN RURAL WATER SUPPLY,,MINISTRY OF FINANCE,1994-06-01
Germany,India,LMICs,31.3566,0.0,"RURAL WATER SUPPLY, RAJASTHAN",,MINISTRY OF FINANCE,1994-06-01
Germany,Burundi,LDCs,7.05523,,RURAL WATER SUPPLY,,MINISTERE DES FINANCES,1994-09-01
Germany,Egypt,LMICs,62.7132,,SEWAGE DISPOSAL KAFR EL SHEIKH,,CENTRAL BANK OF EGYPT,1994-12-01
Germany,Tanzania,LDCs,6.2713199999999985,,DRINKINGWATER SUPPLY,,MINISTRY OF FINANCE,1994-09-01
Germany,Egypt,LMICs,31.3566,0.0,RIVER NILE BANK PROGRAM,,CENTRAL BANK OF EGYPT,1994-10-01
Germany,Tanzania,LDCs,11.7587,0.0,ZANZIBAR WASTE DISPOSAL SYSTEM,,MINISTRY OF FINANCE,1994-11-01
Germany,Egypt,LMICs,6.09647,,WATER AND SANITATION,,CENTRAL BANK OF EGYPT,1997-08-01
Germany,Kenya,LMICs,19.8135,0.0,EXTENSION OF WASTE WATER COLLECTION,,MINISTRY OF FINANCE EXTERN RESOURC DEP,1997-06-01
Germany,Kenya,LMICs,12.876,,BMZ TC:WATER SUPPLY/SANIT.-SMALL SYS,,,1997-12-31
Germany,Rwanda,LDCs,0.0263673,,BMZ TC:WATER SUPPLY/SANIT.-SMALL SYS,,,1997-12-31
Germany,Tanzania,LDCs,18.6704,0.0,URBAN WATER SUPPLY ARUSHA,,MINISTRY OF FINANCE,1997-10-01
Germany,Uganda,LDCs,10.2393,,BMZ TC:WATER SUPPLY/SANIT.-SMALL SYS,,,1997-12-31
Germany,Uganda,LDCs,17.756,,WATER SUPPLY/ SEWERAGE SYSTEM,,MINISTRY OF FINANCE,1997-07-01
Germany,Bolivia,LMICs,1.6919,,BMZ TC:WATER SUPPLY/SANIT.-SMALL SYS,,,1997-12-31
Germany,India,LMICs,0.5383319999999999,,BMZ TC:WATER SUPPLY/SANIT.-SMALL SYS,,,1997-12-31
Germany,Bangladesh,LDCs,0.311134,,BMZ TC:WATER SUPPLY/SANIT.-SMALL SYS,,,1997-12-31
Germany,Ethiopia,LDCs,0.0377145,,FED. STATES CONTRIB.:  WATER,,,1999-12-31
Germany,Ethiopia,LDCs,0.0844805,,BMZ TC: WATER,,,1999-12-31
Germany,Kenya,LMICs,2.26287,,"URBAN WATER SUPPLY, MANAGEMENT ADVISORY SERVICES",,,1999-12-31
Germany,Kenya,LMICs,0.005495,,FED. STATES CONTRIB.:  WATER,,,1999-12-31
Germany,Kenya,LMICs,0.942862,,BMZ TC: WATER,,,1999-12-31
Germany,Tanzania,LDCs,7.5429,0.0,DISTRICT WATER SUPPLY PROJECT,,MINISTRY OF FINANCE,1999-01-11
Germany,Tanzania,LDCs,3.77145,,URBAN WATER SUPPLY PROJECT,,MINISTRY OF FINANCE,1999-01-11
Germany,Tanzania,LDCs,0.00400754,,FED. STATES CONTRIB.:  WATER,,,1999-12-31
Germany,Bolivia,LMICs,2.26287,,WATER SUPLY/SEWAGE TREAT.:TRINIDAD,,MINISTERIO DE HACIENDA,1999-01-01
Germany,Bolivia,LMICs,1.61418,,"DRINKING WATER/WASTE WATER ACTIVITIES, ORURO",,,1999-12-31
Germany,Bolivia,LMICs,3.77145,,ADVANCED TRAINING IN BASIC SANITATION,,,1999-12-31
Germany,Bolivia,LMICs,2.15727,,"DRINKING WATER/WASTE WATER ACTIVITIES, ORURO",,,1999-12-31
Germany,Bolivia,LMICs,0.334905,,BMZ TC: WATER,,,1999-12-31
Germany,Lebanon,UMICs,0.151612,,DRINKING WATER STERILISATION,,,1999-12-31
Germany,India,LMICs,0.169715,,WASTE MANAGEMENT/DISPOSAL,,,1999-12-31
Germany,India,LMICs,0.0316462,,FED. STATES CONTRIB.:  WASTE MGMT,,,1999-12-31
Germany,India,LMICs,0.0203658,,BMZ TC: WATER,,,1999-12-31
Germany,India,LMICs,1.14012,,BMZ TC: WATER,,,1999-12-31
Germany,India,LMICs,0.07478789999999999,,BMZ TC: WATER,,,1999-12-31
Germany,Tanzania,LDCs,3.8433,,"WATER SUPPLY REHAB., KAGERA REGION",,MINISTRY OF FINANCE,1995-09-01
Germany,Uganda,LDCs,6.30301,,URBAN WATER AND SEWERAGE,,MINISTRY OF FINANCE,1995-08-01
Germany,Bolivia,LMICs,27.6717,0.0,"WATER SUPPLY/SEWAGE TREATMENT,SUCRE",,MINISTERIO DE HACIENDA,1995-06-01
Germany,Lebanon,UMICs,11.5299,0.0,"SEWERAGE PROJECT,AL GHADIR",,COUNCIL FOR DEVELOPMENT AND RECONST,1995-01-01
Germany,India,LMICs,30.7464,,"RURAL WATER SUPPLY,RAJASTHAN",,MINISTRY OF FINANCE,1995-06-01
Germany,Rwanda,LDCs,0.7641399999999999,,REHABILITATION  WATER SUPPLY SYSTEM,,MINISTERE DES AFFAIRES ETRANGERES ET DE,1996-03-01
Germany,Rwanda,LDCs,4.58484,,WATER-SUPPLY OF BUGESERA-SOUTH,,MINISTERE DES AFFAIRES ETRANGERES,1996-03-01
Germany,Bolivia,LMICs,22.9242,,"SEWAGE TREATMENT,ORURO",,MINISTERIO DE HACIENDA,1996-06-01
Germany,Bolivia,LMICs,11.7678,0.0,"WATER SUPPLY, POTOSI",,MINISTERIO DE HACIENDA,1996-10-01
Germany,Ethiopia,LDCs,0.8604120000000001,,BMZ TC:WATER SUPPLY/SANIT.-SMALL SYS,,,1998-12-31
Germany,Kenya,LMICs,2.09725,,BMZ TC:WATER SUPPLY/SANIT.-SMALL SYS,,,1998-12-31
Germany,Rwanda,LDCs,2.59586,,BMZ TC:WATER SUPPLY/SANIT.-SMALL SYS,,,1998-12-31
Germany,Rwanda,LDCs,4.54143,,WATER EQUIPMT/SYSTEMS CONSTRUCTION,,MINAFFET SEE NOTES,1998-12-01
Germany,Tanzania,LDCs,0.322655,,BMZ TC:WATER SUPPLY/SANIT.-SMALL SYS,,,1998-12-31
Germany,Tanzania,LDCs,6.05524,0.0,"DRINKING WATER,  HAI DISTRICT",,MINISTRY OF FINANCE,1998-02-01
Germany,Uganda,LDCs,1.03034,,BMZ TC:WATER SUPPLY/SANIT.-SMALL SYS,,,1998-12-31
Germany,India,LMICs,0.0959359,,BMZ TC:WATER SUPPLY/SANIT.-SMALL SYS,,,1998-12-31
Germany,Kenya,LMICs,4.99629,,WATER SUPPLY ELDORET II,,MINISTRY OF FINANCE,1995-11-01
Germany,Egypt,LMICs,3.8207,0.0,WATER RESOURCES POLICY/ADMIN. MGMT,,CENTRAL BANK OF EGYPT,1996-09-01
Germany,India,LMICs,38.207,0.0,RURAL WATER SUPPLY/WEST BENGAL,,MINISTRY OF FINANCE,1996-07-01
Germany,Egypt,LMICs,1.50858,,"SANITATION, KAFR EL SHEIKH",,,1999-12-31
Germany,Egypt,LMICs,11.3143,,"IMPROVEMENT OF WASTE WATER, AMRIYA",,CENTRAL BANK OF EGYPT,1999-12-01
Germany,Egypt,LMICs,9.80577,,BARRAGE SANITAIRE DRAINAGE/BUILDING PROTECTION,,CENTRAL BANK OF EGYPT,1999-01-09
Germany,Ethiopia,LDCs,0.283009,,BMZ TC:WATER SUPPLY/SANIT.-SMALL SYS,,,1997-12-31
Germany,Egypt,LMICs,37.8452,,"WASTE WATER FACILITIES, AMRIYA DIST.",,CENTRAL BANK OF EGYPT,1998-12-01
Germany,Egypt,LMICs,2.27379,,"WASTE MANAGEMENT, ASSUAN",,,2000-12-31
Germany,Egypt,LMICs,2.27379,,WATER SUPPLY & SANIT. - LARGE SYST.,,,2000-12-31
Germany,Egypt,LMICs,5.30551,,"DRINKING WATER SUPPLY SYSTEM, KAFR-EL-SHEIKH",,CENTRAL BANK OF EGYPT,2000-02-15
Germany,Ethiopia,LDCs,2.27379,,SUPPORT TO ARAB MINCH WATER INSTITUTE,,,2000-12-31
Germany,Ethiopia,LDCs,0.0909516,,FED. STATES CONTRIB.:  WATER,,,2000-12-31
Germany,Ethiopia,LDCs,0.0378965,,"FED. STATES CONTRIB.:  WATER, SMALL SYSTEMS",,,2000-12-31
Germany,Kenya,LMICs,0.909516,,WATER SUPPLY & SANIT. - SMALL SYST.,,,2000-12-31
Germany,Kenya,LMICs,0.750351,,WATER SUPPLY & SANIT. - LARGE SYST.,,,2000-12-31
Germany,Rwanda,LDCs,0.12579400000000002,,"FED. STATES CONTRIB.:  WATER, SMALL SYSTEMS",,,2000-12-31
Germany,Tanzania,LDCs,1.89483,,WATER RESOURCES POLICY/ADMIN. MGMT,,,2000-12-31
Germany,Tanzania,LDCs,0.00985309,,"FED. STATES CONTRIB.:  WATER, SMALL SYSTEMS",,,2000-12-31
Germany,Tanzania,LDCs,0.530551,,WATER SUPPLY & SANIT. - SMALL SYST.,,,2000-12-31
Germany,Tanzania,LDCs,9.09516,,URBAN WATER SUPPLY SONGEA (URGENT MEASURES),,ministry of finance,2000-12-20
Germany,Tanzania,LDCs,12.3209,,"URBAN WATER SUPPLY: ARUSHA, MOSHI, TANGA",,ministry of finance,2000-12-13
Germany,Uganda,LDCs,0.0568448,,WATER SUPPLY & SANIT. - SMALL SYST.,,,2000-12-31
Germany,Bolivia,LMICs,18.5693,,SANITATION SERVICES FOR POTOSI,,ministerio de hazienda,2000-10-20
Germany,Lebanon,UMICs,0.0197062,,DRINKING WATER STERILISATION,,,2000-12-31
Germany,India,LMICs,0.0414739,,FED. STATES CONTRIB.:  WATER,,,2000-12-31
Germany,India,LMICs,0.4955729999999999,,WATER SUPPLY & SANIT. - LARGE SYST.,,,2000-12-31
Germany,India,LMICs,0.0715486,,WATER RESOURCES PROTECTION,,,2000-12-31
Germany,India,LMICs,0.109142,,WATER RESOURCES POLICY/ADMIN. MGMT,,,2000-12-31
Germany,India,LMICs,2.04641,,WATER SUPPLY IN MAHARASHTRA,,ministry of finance,2000-12-28
Germany,India,LMICs,33.2731,0.0,RURAL WATER SUPPLY,,ministry of finance,2000-12-28
Germany,Egypt,LMICs,1.49644,,"MORE ADAPTED SEWAGE HOOK-UP, KAFR-EL-SHEIKH",,,2001-12-31
Germany,Egypt,LMICs,0.00146339,,WATER RESOURCES POLICY/ADMIN. MGMT,,,2001-12-31
Germany,Egypt,LMICs,2.24467,,PRIVATISATION OF WASTE MANAGEMENT,,,2001-12-31
Germany,Egypt,LMICs,1.34679,,ADVISORY SERVICES TO SUPPORT EPADP IN THE ESTABLISHMENT OF WATER BOARDS,,Central Bank of Egypt,2001-10-03
Germany,Egypt,LMICs,73.4747,0.0,FIELD DRAINAGE AND OPEN IRRIGATION CHANNELS,,Central Bank of Egypt,2001-10-03
Germany,Ethiopia,LDCs,1.57126,,IMPROVE WATER MNGMT,,,2001-12-31
Germany,Ethiopia,LDCs,0.209499,,WATER SUPPLY & SANIT. - SMALL SYST.,,,2001-12-31
Germany,Ethiopia,LDCs,0.05985280000000001,,FED. STATES CONTRIB.:  WATER,,,2001-12-31
Germany,Ethiopia,LDCs,0.0325312,,"FED. STATES CONTRIB.:  WATER, SMALL SYSTEMS",,,2001-12-31
Germany,Kenya,LMICs,2.99289,,WATER SECTOR REFORM,,,2001-12-31
Germany,Kenya,LMICs,0.931538,,WATER SUPPLY & SANIT. - LARGE SYST.,,,2001-12-31
Germany,Kenya,LMICs,1.36176,,WATER SUPPLY & SANIT. - SMALL SYST.,,,2001-12-31
Germany,Kenya,LMICs,14.9643,0.0,REHABILITATION AND EXTENSTION OF THE WATER SUPPLY IN NYERI REGION,,Ministry of Finance and Planning,2001-06-18
Germany,Kenya,LMICs,3.74107,0.0,REHABILITATION OF THE SABAKI WELLFIELD,,Ministry of Finance and planning,2001-12-18
Germany,Rwanda,LDCs,0.055126,,"FED. STATES CONTRIB.:  WATER, SMALL SYSTEMS",,,2001-12-31
Germany,Tanzania,LDCs,0.06583810000000001,,"FED. STATES CONTRIB.:  WATER, SMALL SYSTEMS",,,2001-12-31
Germany,Tanzania,LDCs,5.53679,,FINANCING OF RURAL WATER SUPPLY IN EAST-KILIMANJARO,,MINISTRY OF FINANCE,2001-04-09
Germany,Tanzania,LDCs,0.448929,,FINANCING OF RURAL WATER SUPPLY IN EAST-KILIMANJARO,,MINISTRY OF FINANCE,2001-04-09
Germany,Uganda,LDCs,3.74111,,WATER POLICY,,,2001-12-31
Germany,Uganda,LDCs,1.34389,,WATER SUPPLY & SANIT. - SMALL SYST.,,,2001-12-31
Germany,Uganda,LDCs,4.86339,,SUPPLY OF MATERIALS TO REHABILITATE PIPES AND HOUSE CONNECTIONS,,Ministry of Finance Planning and Economic Development,2001-12-14
Germany,Bolivia,LMICs,0.00747794,,ADVANCED TRAINING IN BASIC SANITATION,,,2001-12-31
Germany,Bolivia,LMICs,1.79571,,SEWAGE TREATMENT OVUVO,,Ministerio de Hacienda,2001-09-10
Germany,Bolivia,LMICs,4.30601,,DRINKABLE WATER,,,2001-12-31
Germany,Bolivia,LMICs,0.175827,,WATER SUPPLY & SANIT. - SMALL SYST.,,,2001-12-31
Germany,Colombia,UMICs,0.0523749,,WASTE MANAGEMENT/DISPOSAL,,,2001-12-31
Germany,Colombia,UMICs,0.00882426,,WATER RESOURCES POLICY/ADMIN. MGMT,,,2001-12-31
Germany,Lebanon,UMICs,0.162437,,DRINKING WATER STERILISATION,,,2001-12-31
Germany,India,LMICs,0.110735,,RIVER DEVELOPMENT,,,2001-12-31
Germany,India,LMICs,0.00538529,,WATER SUPPLY & SANIT. - LARGE SYST.,,,2001-12-31
Germany,India,LMICs,7.4821399999999985,,WATER SUPPLY AND SANITATIONS - SMALL SYSTEMS,,Ministry of Finance,2001-10-29
Germany,India,LMICs,0.00365848,,FED. STATES CONTRIB.:  WATER,,,2001-12-31
Germany,Bangladesh,LDCs,0.14066099999999998,,WATER RESOURCES POLICY/ADMIN. MGMT,,,2001-12-31
Germany,Bangladesh,LDCs,0.374117,,WATER SUPPLY & SANIT. - SMALL SYST.,,,2001-12-31
Germany,Egypt,LMICs,0.0142453,,FED. STATES CONTRIB.:  WASTE MGMT,,,2003-12-31
Germany,Burundi,LDCs,4.98585,,URBAN WATER SUPPLY,,MINISTERE DES FINANCES,2003-08-01
Germany,Kenya,LMICs,0.358981,,GOVERNMENT CONTRIBUTIONS VIA NGO,,,2003-12-31
Germany,Rwanda,LDCs,0.5826319999999999,,WATER SUPPLY PROGRAMME,,MIN.DES AFFAIRES ETRANGERES ET,2003-06-01
Germany,Rwanda,LDCs,0.0241885,,"FED. STATES CONTRIB.:  WATER, SMALL SYSTEMS",,,2003-12-31
Germany,Rwanda,LDCs,3.05846,,WATER SUPPLY PROGRAMME,,MIN.DES AFFAIRES ETRANGERES ET,2003-06-01
Germany,Tanzania,LDCs,6.2679300000000016,,SUPPORT TO THE WATER SECTOR REFORM,,,2003-12-31
Germany,Tanzania,LDCs,1.0684,,IMPROVEMENT OF WATER SUPPLY,,MINIST.O.FINANCE THE TREASURY,2003-11-01
Germany,Tanzania,LDCs,6.695289999999999,,WATER SUPPLY PROGRAMME,,MINIST.O.FINANCE THE TREASURY,2003-07-01
Germany,Tanzania,LDCs,9.61557,,IMPROVEMENT OF WATER SUPPLY,,MINIST.O.FINANCE THE TREASURY,2003-11-01
Germany,Tanzania,LDCs,0.00854717,,"FED. STATES CONTRIB.:  WATER, SMALL SYSTEMS",,,2003-12-31
Germany,Uganda,LDCs,0.0590895,,WATER SUPPLY & SANIT. - LARGE SYST.,,,2003-12-31
Germany,Bolivia,LMICs,6.41038,,WATER SUPPLY & SANIT. - LARGE SYST.,,,2003-12-31
Germany,Bolivia,LMICs,2.56415,,ADVISORY SERVICES TO THE NATIONAL IRRIGATION PROGRAMME,,,2003-12-31
Germany,Lebanon,UMICs,0.167838,,DRINKING WATER STERILISATION,,,2003-12-31
Germany,India,LMICs,0.00427359,,FED. STATES CONTRIB.:  WATER,,,2003-12-31
Germany,India,LMICs,0.10627,,GOVERNMENT CONTRIBUTIONS VIA NGO,,,2003-12-31
Germany,India,LMICs,2.13679,,WASTE MANAGEMENT/DISPOSAL,,,2003-12-31
Germany,India,LMICs,0.0371945,,EDUC./TRNG:WATER SUPPLY & SANITATION,,,2003-12-31
Germany,India,LMICs,1.70943,,INDO-GERMAN BILATERAL PROJECT WATERSHED MANAGEMENT,,,2003-12-31
Germany,Bangladesh,LDCs,0.230617,,GOVERNMENT CONTRIBUTIONS VIA NGO,,,2003-12-31
Germany,Bangladesh,LDCs,0.485764,,GOVERNMENT CONTRIBUTIONS VIA NGO,,,2003-12-31
Germany,Egypt,LMICs,2.1651700000000003,,STRATEGIC ADVISORY SERVICE OF MINISTRY OF WATER RESOURCES,,,2002-12-31
Germany,Egypt,LMICs,3.24775,,WASTE MANAGEMENT/DISPOSAL,,,2002-12-31
Germany,Burundi,LDCs,0.0125435,,FED. STATES CONTRIBUTIONS,,,2002-12-31
Germany,Ethiopia,LDCs,0.122881,,GOVERNMENT CONTRIBUTIONS VIA NGO,,,2002-12-31
Germany,Ethiopia,LDCs,1.94865,,SUPPORT TO THE ABRA MINCH WATER TECHNOLOGY INSTITUTE (AWTI),,,2002-12-31
Germany,Ethiopia,LDCs,0.0590369,,FED. STATES CONTRIB.: WATER,,,2002-12-31
Germany,Kenya,LMICs,0.539849,,GOVERNMENT CONTRIBUTIONS VIA NGO,,,2002-12-31
Germany,Kenya,LMICs,0.483554,,GOVERNMENT CONTRIBUTIONS VIA NGO,,,2002-12-31
Germany,Rwanda,LDCs,2.95185,,RURAL WATER SUPPLY COMM. KIGALI,,MIN.DES AFFAIRES ETRANGERES ET,2002-05-01
Germany,Rwanda,LDCs,1.25435,,WATER SUPPLY BUGESERA SUD (ACC. MEASURE),,MIN.DES AFFAIRES ETRANGERES ET,2002-07-01
Germany,Rwanda,LDCs,0.171655,,"FED. STATES CONTRIB.: WATER, SMALL SYSTEMS",,,2002-12-31
Germany,Rwanda,LDCs,0.0187648,,FED. STATES CONTRIBUTIONS,,,2002-12-31
Germany,Tanzania,LDCs,7.0194800000000015,,WATER SUPPLY MBEYA,,MINIST.O.FINANCE THE TREASURY,2002-11-01
Germany,Tanzania,LDCs,0.360861,,WATER SUPPLY MBEYA,,MINIST.O.FINANCE THE TREASURY,2002-11-01
Germany,Tanzania,LDCs,1.26518,,GOVERNMENT CONTRIBUTIONS VIA NGO,,,2002-12-31
Germany,Tanzania,LDCs,0.0114465,,FED. STATES CONTRIBUTIONS,,,2002-12-31
Germany,Uganda,LDCs,21.0339,,ENTEBBE WATER SUPPLY AND SEWERAGE,,MINISTRY OF FINANCE,2002-07-01
Germany,Uganda,LDCs,0.349574,,GOVERNMENT CONTRIBUTIONS VIA NGO,,,2002-12-31
Germany,Bolivia,LMICs,0.216517,,GOVERNMENT CONTRIBUTIONS VIA NGO,,,2002-12-31
