"";"DonorName";"RecipientName";"DonorCode";"RecipientCode";"IncomegroupName";"USD_Commitment_Defl";"USD_Received_Defl";"ShortDescription";"AgencyName";"FlowCode";"SectorCode";"ProjectTitle";"PurposeName";"SectorName";"ChannelName";"ChannelReportedName";"ExpectedStartDate";"CompletionDate";"LongDescription";"CommitmentDate";"Recipientstat SI.SPR.PCAP";"Recipientstat SI.POV.XPND.MD";"Recipientstat SP.POP.TOTL";"Recipientstat AG.SRF.TOTL.K2"
1607;"Germany";"Liberia";"5";"251";"LDCs";9.53787;0.0;"MONROVIA SEWERAGE";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1982-01-03";"";"";"1982-11-01";0.0;0.0;1989483.0;111370.0
1694;"Germany";"Rwanda";"5";"266";"LDCs";4.687180000000001;"";"WATER SUPPLY SYST. MODERNISATION";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-04";"";"";"1982-10-01";0.0;0.0;5504842.0;26340.0
1755;"Germany";"Ghana";"5";"241";"LMICs";7.6303;"";"WELL DRILL.,PUMPS MAINT./TRAINING";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1982-01-04";"";"";"1982-08-01";0.0;0.0;11676823.0;238540.0
1756;"Germany";"Ghana";"5";"241";"LMICs";2.18008;"";"2000 HAND PUMP WELLS";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-01";"";"";"1982-08-01";0.0;0.0;11676823.0;238540.0
1796;"Germany";"Morocco";"5";"136";"LMICs";17.4407;0.0;"DRINKING WATER, TIZNIT";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1982-01-04";"";"";"1982-06-01";0.0;0.0;20984009.0;446550.0
1797;"Germany";"Morocco";"5";"136";"LMICs";27.4691;0.0;"DRINKING WATER,AL HOCEIMA";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1982-01-03";"";"";"1982-06-01";0.0;0.0;20984009.0;446550.0
1918;"Germany";"Niger";"5";"260";"LDCs";11.9905;"";"SEWERAGE & SANITARY MEASURES";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1982-01-04";"";"";"1982-10-01";0.0;0.0;6343523.0;1267000.0
1978;"Germany";"Burkina Faso";"5";"287";"LDCs";3.92415;"";"VILLAGE WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1982-01-01";"";"";"1982-02-01";0.0;0.0;7158255.0;274220.0
2081;"Germany";"Gambia";"5";"240";"LDCs";8.72034;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1982-01-03";"";"";"1982-03-01";0.0;0.0;678113.0;11300.0
2099;"Germany";"Cameroon";"5";"229";"LMICs";4.36017;"";"WATER SUP., & VILLAGES";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1982-01-02";"";"";"1982-01-01";0.0;0.0;9166816.0;475440.0
2219;"Germany";"Democratic Republic of the Congo";"5";"235";"LDCs";2.3980900000000003;"";"RUR. WATER SUPP. STUDY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1982-01-02";"";"";"1982-03-01";0.0;0.0;27717291.0;2344860.0
7442;"Germany";"Paraguay";"5";"451";"UMICs";4.75031;0.0;"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1981-01-02";"";"";"1980-03-01";0.0;0.0;3181625.0;406750.0
7759;"Germany";"Maldives";"5";"655";"UMICs";0.49878199999999995;"";"FEAS. ST.,WATER SUP./SEWERAGE/WASTE";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1980-01-02";"";"";"1980-09-01";0.0;0.0;158272.0;300.0
8455;"Germany";"Tanzania";"5";"282";"LDCs";2.37515;"";"WATER SUP. SYSTEM, HANDENI DISTRICT";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1980-01-02";"";"";"1980-04-01";0.0;0.0;18538259.0;947300.0
9452;"Germany";"Indonesia";"5";"738";"LMICs";6.88795;0.0;"WATER SUPPLY SYSTEM/KUDUS";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1980-01-05";"";"";"1980-06-01";0.0;0.0;147447836.0;1910930.0
10430;"Germany";"Mali";"5";"255";"LDCs";8.313039999999999;"";"WATER SUPPLY, KATI";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1981-01-02";"";"";"1980-12-01";0.0;0.0;7090126.0;1240190.0
10729;"Germany";"Kenya";"5";"248";"LMICs";10.6882;0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1980-01-03";"";"";"1980-09-01";0.0;0.0;16417197.0;580370.0
11558;"Germany";"Yemen";"5";"580";"LDCs";53.441;"";"WATER SUPPLY & SEWERAGE - IBB";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"REPUBLIC OF YEMEN";"";"";"";"1980-09-01";0.0;0.0;7941898.0;527970.0
11698;"Germany";"Senegal";"5";"269";"LDCs";10.6882;0.0;"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1980-01-02";"";"";"1980-04-01";0.0;0.0;5583165.0;196710.0
11905;"Germany";"Zambia";"5";"288";"LDCs";32.0646;0.0;"WATER SUPPLY CHIPATA";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1980-01-04";"";"";"1980-05-01";0.0;0.0;5851825.0;752610.0
12679;"Germany";"Burkina Faso";"5";"287";"LDCs";2.37515;"";"WATER SUPPLY - KOUDOUGOU";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1980-01-01";"";"";"1980-09-01";0.0;0.0;6822843.0;274220.0
12680;"Germany";"Burkina Faso";"5";"287";"LDCs";7.36298;"";"VILLAGE WATER SUPPLY EQUIPMENT";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1980-01-02";"";"";"1980-09-01";0.0;0.0;6822843.0;274220.0
12720;"Germany";"Somalia";"5";"273";"LDCs";10.3319;"";"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1981-01-01";"";"";"1980-09-01";0.0;0.0;6281134.0;637660.0
12721;"Germany";"Somalia";"5";"273";"LDCs";5.3441;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1981-01-01";"";"";"1980-12-01";0.0;0.0;6281134.0;637660.0
12936;"Germany";"Tunisia";"5";"139";"LMICs";83.1304;0.0;"DRINK. WATER, RURAL AREAS";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1980-01-04";"";"";"1980-11-01";0.0;0.0;6374039.0;163610.0
12937;"Germany";"Tunisia";"5";"139";"LMICs";23.7515;0.0;"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1980-01-04";"";"";"1980-04-01";0.0;0.0;6374039.0;163610.0
13563;"Germany";"Cyprus";"5";"30";"MADCTs";11.8758;0.0;"WATER SUPPLY - NICOSIA";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1980-01-02";"";"";"1980-09-01";0.0;0.0;685405.0;9250.0
13810;"Germany";"Morocco";"5";"136";"LMICs";71.1346;0.0;"KENITRA WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1981-01-03";"";"";"1981-02-01";0.0;0.0;20479715.0;446550.0
13966;"Germany";"Tunisia";"5";"139";"LMICs";28.4994;0.0;"RUR. DRINKING WATER SUP.";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1981-01-04";"";"";"1981-07-01";0.0;0.0;6551231.0;163610.0
13967;"Germany";"Tunisia";"5";"139";"LMICs";3.9899199999999997;0.0;"RIVER DEVIATION/DAM CONS.";"Kreditanstalt für Wiederaufbau";"13";"140";"";"River basins development";"I.4. Water Supply & Sanitation";"";"";"1981-01-03";"";"";"1981-09-01";0.0;0.0;6551231.0;163610.0
14487;"Germany";"Benin";"5";"236";"LDCs";2.27996;"";"WATER SUPPLY TEST DRILLINGS";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1981-01-02";"";"";"1981-09-01";0.0;0.0;3820128.0;114760.0
14532;"Germany";"Gambia";"5";"240";"LDCs";9.689810000000001;"";"BANJUL SEWERAGE/STORMWATER DISPOSAL";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1982-01-02";"";"";"1981-03-01";0.0;0.0;657579.0;11300.0
14722;"Germany";"Kenya";"5";"248";"LMICs";11.3998;0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1982-01-03";"";"";"1981-11-01";0.0;0.0;17063876.0;580370.0
14791;"Germany";"Lesotho";"5";"249";"LDCs";14.8197;"";"TOWN WATER SUPPLY NETWORK";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1981-01-02";"";"";"1981-05-01";0.0;0.0;1377799.0;30360.0
15189;"Germany";"Senegal";"5";"269";"LDCs";18.4676;0.0;"ST. LOUIS WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1981-01-04";"";"";"1981-03-01";0.0;0.0;5740444.0;196710.0
15190;"Germany";"Senegal";"5";"269";"LDCs";5.69989;0.0;"26 DUG / 7 DRILLED WELLS";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1981-01-03";"";"";"1981-08-01";0.0;0.0;5740444.0;196710.0
17316;"Germany";"Sri Lanka";"5";"640";"LMICs";0.7900050000000001;"";"FEAS. STUDY, KURUNEGALA WATER SUP.";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1981-01-01";"";"";"1981-07-01";0.0;0.0;15272831.0;65610.0
18112;"Germany";"Haiti";"5";"349";"LDCs";3.9899199999999997;"";"ST.MARC / GONAIVES WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1981-01-03";"";"";"1981-03-01";0.0;0.0;5773366.0;27750.0
18420;"Germany";"India";"5";"645";"LMICs";26.2195;0.0;"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1982-01-03";"";"";"1981-12-01";0.0;0.0;715384993.0;3287260.0
18696;"Germany";"Somalia";"5";"273";"LDCs";2.62195;"";"WATER SUPPLY SYST., 4 TOWNS";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1982-01-01";"";"";"1981-12-01";0.0;0.0;6511113.0;637660.0
19458;"Germany";"Zambia";"5";"288";"LDCs";31.9194;0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1981-01-03";"";"";"1981-07-01";0.0;0.0;6055366.0;752610.0
19840;"Germany";"Burundi";"5";"228";"LDCs";7.979839999999999;"";"BUJUMBURA WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1981-01-03";"";"";"1981-02-01";0.0;0.0;4266520.0;27830.0
19841;"Germany";"Burundi";"5";"228";"LDCs";3.4199300000000004;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1981-01-03";"";"";"1981-02-01";0.0;0.0;4266520.0;27830.0
24057;"Germany";"Tanzania";"5";"282";"LDCs";21.2054;"";"WATER SUPPLY, ARUSHA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-05";"";"";"1983-05-01";0.0;0.0;20344547.0;947300.0
24058;"Germany";"Tanzania";"5";"282";"LDCs";1.06027;"";"WATER SUPPLY, ARUSHA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-02";"";"";"1983-05-01";0.0;0.0;20344547.0;947300.0
24451;"Germany";"Sudan";"5";"278";"LDCs";4.13505;"";"WATER SUPPLY REFUGEE AREA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1984-01-04";"";"";"1983-10-01";0.0;0.0;16107620.0;0.0
24498;"Germany";"Ghana";"5";"241";"LMICs";9.54243;0.0;"REFUSE/NIGHTSOIL DISPOSAL";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1984-01-02";"";"";"1983-11-01";0.0;0.0;12033575.0;238540.0
24499;"Germany";"Ghana";"5";"241";"LMICs";10.6027;"";"DISTRICT WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1984-01-03";"";"";"1983-12-01";0.0;0.0;12033575.0;238540.0
24500;"Germany";"Ghana";"5";"241";"LMICs";22.2657;0.0;"1000 HAND PUMPS";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1983-01-02";"";"";"1983-03-01";0.0;0.0;12033575.0;238540.0
24664;"Germany";"Egypt";"5";"142";"LMICs";10.0726;0.0;"CAIRO SEWERAGE DISPOSAL";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1983-01-03";"";"";"1983-07-01";0.0;0.0;46728286.0;1001450.0
25169;"Germany";"Togo";"5";"283";"LDCs";2.7567;"";"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1984-01-03";"";"";"1983-12-01";0.0;0.0;3026973.0;56790.0
25170;"Germany";"Togo";"5";"283";"LDCs";14.3136;0.0;"3 TOWNS WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-03";"";"";"1983-06-01";0.0;0.0;3026973.0;56790.0
25690;"Germany";"Yemen";"5";"580";"LDCs";5.30135;"";"WATER SUPPLY FACILITIES REHAB.";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-02";"";"";"1983-08-01";0.0;0.0;8869370.0;527970.0
25845;"Germany";"Paraguay";"5";"451";"UMICs";10.6027;0.0;"BASIC SANITATION";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1984-01-04";"";"";"1983-12-01";0.0;0.0;3468535.0;406750.0
25903;"Germany";"Colombia";"5";"437";"UMICs";6.8917600000000006;0.0;"WATER AND SEWERAGE";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1984-01-03";"";"";"1983-03-01";0.0;0.0;28714190.0;1141750.0
26234;"Germany";"Malawi";"5";"253";"LDCs";9.96654;"";"BLANTYRE SEWERAGE";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1983-01-03";"";"";"1983-03-01";0.0;0.0;6737924.0;118480.0
26432;"Germany";"Central African Republic";"5";"231";"LDCs";0.583149;"";"RURAL WATER SUPP.FEAS.STUDY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1983-01-02";"";"";"1983-04-01";0.0;0.0;2408317.0;622980.0
27242;"Germany";"Somalia";"5";"273";"LDCs";1.80246;"";"DAM CONSULTANCY,BARDHEERE";"Kreditanstalt für Wiederaufbau";"11";"140";"";"River basins development";"I.4. Water Supply & Sanitation";"";"";"1983-01-03";"";"";"1983-03-01";0.0;0.0;6618588.0;637660.0
27359;"Germany";"Papua New Guinea";"5";"862";"LMICs";0.848216;"";"WATER/SEWERAGE,FIN. CONTROLLER";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1983-01-03";"";"";"1983-04-01";0.0;0.0;3871492.0;462840.0
27360;"Germany";"Papua New Guinea";"5";"862";"LMICs";9.754480000000001;0.0;"PIPED WATER, SEWERAGE";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1983-01-03";"";"";"1983-04-01";0.0;0.0;3871492.0;462840.0
27628;"Germany";"Brazil";"5";"431";"UMICs";10.6027;0.0;"BASIC SANITATION,BAHIA";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1984-01-03";"";"";"1983-12-01";0.0;0.0;129448819.0;8515770.0
27629;"Germany";"Brazil";"5";"431";"UMICs";0.212054;"";"SANITATION SERVICES,BAHIA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1984-01-03";"";"";"1983-12-01";0.0;0.0;129448819.0;8515770.0
28824;"Germany";"Liberia";"5";"251";"LDCs";6.46765;0.0;"ROBERTSPORT WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-03";"";"";"1983-04-01";0.0;0.0;2057227.0;111370.0
29048;"Germany";"Cameroon";"5";"229";"LMICs";46.8639;0.0;"TOWN WATER SUPPLY SYST.";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-04";"";"";"1983-09-01";0.0;0.0;9456494.0;475440.0
29343;"Germany";"Congo";"5";"234";"LMICs";2.33259;"";"RUR.TOWNS WATER SUPP.,TRAIN.";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1983-01-04";"";"";"1983-06-01";0.0;0.0;1940443.0;342000.0
29344;"Germany";"Congo";"5";"234";"LMICs";0.424108;"";"RUR.TOWNS WATER FEAS. STUDY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1983-01-02";"";"";"1983-06-01";0.0;0.0;1940443.0;342000.0
29345;"Germany";"Congo";"5";"234";"LMICs";4.77122;0.0;"RURAL TOWNS WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1983-01-03";"";"";"1983-06-01";0.0;0.0;1940443.0;342000.0
29732;"Germany";"Morocco";"5";"136";"LMICs";20.7918;0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1985-01-01";"";"";"1984-09-01";0.0;0.0;22002643.0;446550.0
30405;"Germany";"Mauritania";"5";"256";"LDCs";4.36629;"";"SMALL DAM,TAGANT";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1985-01-01";"";"";"1984-10-01";0.0;0.0;1730738.0;1030700.0
31308;"Germany";"Burundi";"5";"228";"LDCs";21.8314;"";"WATER SUP./BUJUMBURA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1984-01-01";"";"";"1984-04-01";0.0;0.0;4621103.0;27830.0
31478;"Germany";"Congo";"5";"234";"LMICs";0.883653;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1984-01-01";"";"";"1984-06-01";0.0;0.0;1996995.0;342000.0
31539;"Germany";"Benin";"5";"236";"LDCs";24.9502;"";"WATER SUP.DISTRICT CENTRES";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1984-01-01";"";"";"1984-07-01";0.0;0.0;4156819.0;114760.0
31776;"Germany";"Niger";"5";"260";"LDCs";13.5147;"";"WATER SUPPLY MARADI";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1984-01-01";"";"";"1984-03-01";0.0;0.0;6719309.0;1267000.0
32203;"Germany";"Haiti";"5";"349";"LDCs";2.59898;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1984-01-01";"";"";"1984-08-01";0.0;0.0;6194687.0;27750.0
32396;"Germany";"Kenya";"5";"248";"LMICs";32.0194;0.0;"WATER SUPPLY/MALINDI REGION";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1984-01-01";"";"";"1984-09-01";0.0;0.0;19146400.0;580370.0
33417;"Germany";"Thailand";"5";"764";"UMICs";25.6779;0.0;"FLOOD PROTECTION";"Kreditanstalt für Wiederaufbau";"13";"140";"";"River basins development";"I.4. Water Supply & Sanitation";"";"";"1985-01-01";"";"";"1984-11-01";0.0;0.0;51094868.0;513120.0
33886;"Germany";"Pakistan";"5";"665";"LMICs";7.9009;0.0;"WATER SUPPLY, REFUGEE CAMPS";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1984-01-01";"";"";"1984-02-01";0.0;0.0;89213706.0;796100.0
