"";"DonorName";"RecipientName";"DonorCode";"RecipientCode";"IncomegroupName";"USD_Commitment_Defl";"USD_Received_Defl";"ShortDescription";"AgencyName";"FlowCode";"SectorCode";"ProjectTitle";"PurposeName";"SectorName";"ChannelName";"ChannelReportedName";"ExpectedStartDate";"CompletionDate";"LongDescription";"CommitmentDate";"Recipientstat SI.SPR.PCAP";"Recipientstat SI.POV.XPND.MD";"Recipientstat SP.POP.TOTL";"Recipientstat AG.SRF.TOTL.K2"
32396;"Germany";"Kenya";"5";"248";"LMICs";32.0194;0.0;"WATER SUPPLY/MALINDI REGION";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1984-01-01";"";"";"1984-09-01";0.0;0.0;19146400.0;580370.0
36932;"Germany";"Tanzania";"5";"282";"LDCs";4.15837;"";"WATER SUP,TANGA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1984-01-01";"";"";"1984-05-01";0.0;0.0;20981776.0;947300.0
40708;"Germany";"Ethiopia";"5";"238";"LDCs";10.0778;"";"WATER SUPPLY, 12 PROVINC. TOWNS";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1985-01-01";"";"";"1985-05-01";0.0;0.0;40652141.0;1104300.0
40804;"Germany";"Sudan";"5";"278";"LDCs";10.7904;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1985-01-01";"";"";"1985-07-01";0.0;0.0;17210187.0;0.0
40805;"Germany";"Sudan";"5";"278";"LDCs";24.3293;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1985-01-01";"";"";"1985-02-01";0.0;0.0;17210187.0;0.0
41383;"Germany";"Kenya";"5";"248";"LMICs";5.08982;"";"WATER SUPPLY, KITALE";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1985-01-01";"";"";"1985-05-01";0.0;0.0;19877083.0;580370.0
41384;"Germany";"Kenya";"5";"248";"LMICs";5.497000000000001;"";"WATER SUPPLY, KERICHO";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1985-01-01";"";"";"1985-05-01";0.0;0.0;19877083.0;580370.0
42307;"Germany";"Egypt";"5";"142";"LMICs";95.0778;0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1985-01-01";"";"";"1985-06-01";0.0;0.0;49258732.0;1001450.0
42308;"Germany";"Egypt";"5";"142";"LMICs";6.718560000000001;"";"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1985-01-01";"";"";"1985-06-01";0.0;0.0;49258732.0;1001450.0
46946;"Germany";"Rwanda";"5";"266";"LDCs";3.3592800000000005;"";"CANAL PROTECTION";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1985-01-01";"";"";"1985-11-01";0.0;0.0;6146891.0;26340.0
51544;"Germany";"Sudan";"5";"278";"LDCs";2.96497;"";"REFUGEES AID, WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1986-01-01";"";"";"1986-03-01";0.0;0.0;17757491.0;0.0
51545;"Germany";"Sudan";"5";"278";"LDCs";11.0692;"";"REFUGEES AID, WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1986-01-01";"";"";"1986-03-01";0.0;0.0;17757491.0;0.0
51705;"Germany";"Colombia";"5";"437";"UMICs";11.8599;0.0;"EROSION CONTROL PROG.";"Kreditanstalt für Wiederaufbau";"13";"140";"";"River basins development";"I.4. Water Supply & Sanitation";"";"";"1987-01-01";"";"";"1986-01-01";0.0;0.0;30572478.0;1141750.0
52228;"Germany";"Bolivia";"5";"428";"LMICs";4.4474599999999995;0.0;"SANITATION PROG.";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1987-01-01";"";"";"1986-10-01";0.0;0.0;6309130.0;1098580.0
56492;"Germany";"Burundi";"5";"228";"LDCs";7.4124300000000005;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1986-01-01";"";"";"1986-01-01";0.0;0.0;4886743.0;27830.0
58162;"Germany";"Kenya";"5";"248";"LMICs";2.5371599999999996;"";"WATER AND SEWERAGE";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1987-02-01";0.0;0.0;21382112.0;580370.0
61024;"Germany";"India";"5";"645";"LMICs";43.9124;0.0;"RURAL WATER SUP. MADHYA PRADESH";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1988-01-01";"";"";"1987-08-01";0.0;0.0;819682102.0;3287260.0
72064;"Germany";"Bolivia";"5";"428";"LMICs";13.9144;0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1988-12-01";0.0;0.0;6580312.0;1098580.0
76851;"Germany";"Tanzania";"5";"282";"LDCs";1.9192200000000001;"";"WATER SUPPLY SYST. EXT., ARUSHA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1989-01-01";"";"";"1988-11-01";0.0;0.0;23670808.0;947300.0
77064;"Germany";"Sudan";"5";"278";"LDCs";10.0759;"";"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1988-01-01";"";"";"1988-07-01";0.0;0.0;18867560.0;0.0
79184;"Germany";"Burundi";"5";"228";"LDCs";4.79805;"";"GITEGA WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1988-01-01";"";"";"1988-01-01";0.0;0.0;5168698.0;27830.0
79185;"Germany";"Burundi";"5";"228";"LDCs";5.2778599999999996;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1988-01-01";"";"";"1988-07-01";0.0;0.0;5168698.0;27830.0
79186;"Germany";"Burundi";"5";"228";"LDCs";5.2778599999999996;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1989-01-01";"";"";"1988-07-01";0.0;0.0;5168698.0;27830.0
84464;"Germany";"Kenya";"5";"248";"LMICs";33.1128;0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1989-01-01";"";"";"1989-01-01";0.0;0.0;22935092.0;580370.0
87710;"Germany";"Bolivia";"5";"428";"LMICs";6.99567;0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"REPUBLIC OF BOLIVIA";"";"";"";"1989-05-01";0.0;0.0;6721115.0;1098580.0
98876;"Germany";"Kenya";"5";"248";"LMICs";9.92326;0.0;"SANITATION PROJECT";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1990-01-01";"";"";"1990-01-01";0.0;0.0;23724579.0;580370.0
99541;"Germany";"Rwanda";"5";"266";"LDCs";23.0192;"";"RURAL WATER & SEWERAGE";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1990-01-01";"";"";"1990-04-01";0.0;0.0;7288882.0;26340.0
100393;"Germany";"Tanzania";"5";"282";"LDCs";1.80423;"";"WATER SUPPLY, TABORA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1990-01-01";"";"";"1990-11-01";0.0;0.0;25203845.0;947300.0
100394;"Germany";"Tanzania";"5";"282";"LDCs";3.60846;"";"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1990-04-01";0.0;0.0;25203845.0;947300.0
100800;"Germany";"Uganda";"5";"285";"LDCs";10.8254;"";"RURAL WATER & SEWERAGE";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1990-01-01";"";"";"1990-03-01";0.0;0.0;17354392.0;241550.0
102134;"Germany";"Egypt";"5";"142";"LMICs";3.1574;"";"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1990-01-01";"";"";"1990-07-01";0.0;0.0;56134475.0;1001450.0
107381;"Germany";"Tanzania";"5";"282";"LDCs";1.31267;"";"WATER SUPPLY, ARUSHA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1991-04-01";0.0;0.0;26056594.0;947300.0
107382;"Germany";"Tanzania";"5";"282";"LDCs";0.875116;"";"WATER SUPPLY, ARUSHA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1991-04-01";0.0;0.0;26056594.0;947300.0
107383;"Germany";"Tanzania";"5";"282";"LDCs";2.18779;"";"WATER & SEWERAGE, ARUSHA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1991-04-01";0.0;0.0;26056594.0;947300.0
114813;"Germany";"Sudan";"5";"278";"LDCs";4.37558;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1991-11-01";0.0;0.0;20891441.0;0.0
116651;"Germany";"Bolivia";"5";"428";"LMICs";20.1277;"";"SEWERAGE TREATMENT";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1991-06-01";0.0;0.0;7011453.0;1098580.0
127667;"Germany";"Tanzania";"5";"282";"LDCs";1.6621299999999999;0.0;"WATER AND SEWERAGE";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1992-01-01";0.0;0.0;26961197.0;947300.0
127668;"Germany";"Tanzania";"5";"282";"LDCs";0.831066;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1992-12-01";0.0;0.0;26961197.0;947300.0
129738;"Germany";"Egypt";"5";"142";"LMICs";16.6213;"";"WATER SUPPLY, KAFREL SHEIKH";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1992-12-01";0.0;0.0;58666814.0;1001450.0
130700;"Germany";"Ethiopia";"5";"238";"LDCs";10.8039;"";"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1992-11-01";0.0;0.0;51423585.0;1104300.0
135618;"Germany";"Burundi";"5";"228";"LDCs";23.2698;"";"WATER AND SEWERAGE";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1992-01-01";0.0;0.0;5685565.0;27830.0
138509;"Germany";"Sudan";"5";"278";"LDCs";1.91145;0.0;"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1992-10-01";0.0;0.0;21696244.0;0.0
138510;"Germany";"Sudan";"5";"278";"LDCs";2.24388;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1992-10-01";0.0;0.0;21696244.0;0.0
141930;"Germany";"Rwanda";"5";"266";"LDCs";0.7641399999999999;"";"REHABILITATION  WATER SUPPLY SYSTEM";"Kreditanstalt für Wiederaufbau";"11";"140";"WATER AND ELECTRICITY SUPPLY I";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"MINISTERE DES AFFAIRES ETRANGERES ET DE";"1995-01-01";"1996-12-01";"";"1996-03-01";0.0;0.0;6013107.0;26340.0
141931;"Germany";"Rwanda";"5";"266";"LDCs";4.58484;"";"WATER-SUPPLY OF BUGESERA-SOUTH";"Kreditanstalt für Wiederaufbau";"11";"140";"WATER-SUPPLY OF BUGESERA-SOUTH";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"MINISTERE DES AFFAIRES ETRANGERES";"1997-01-01";"1998-07-01";"";"1996-03-01";0.0;0.0;6013107.0;26340.0
143874;"Germany";"Bolivia";"5";"428";"LMICs";22.9242;"";"SEWAGE TREATMENT,ORURO";"Kreditanstalt für Wiederaufbau";"11";"140";"SEWAGE TREATMENT ORURO";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"MINISTERIO DE HACIENDA";"1996-01-01";"2000-12-01";"";"1996-06-01";0.0;0.0;7779267.0;1098580.0
143877;"Germany";"Bolivia";"5";"428";"LMICs";11.7678;0.0;"WATER SUPPLY, POTOSI";"Kreditanstalt für Wiederaufbau";"13";"140";"WATER SUPPLY POTOSI";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"MINISTERIO DE HACIENDA";"1997-01-01";"1999-10-01";"";"1996-10-01";0.0;0.0;7779267.0;1098580.0
145308;"Germany";"India";"5";"645";"LMICs";38.207;0.0;"RURAL WATER SUPPLY/WEST BENGAL";"Kreditanstalt für Wiederaufbau";"11";"140";"RURAL WATER SUPPLY WEST BENGAL";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"MINISTRY OF FINANCE";"1996-01-01";"2002-12-01";"";"1996-07-01";0.0;0.0;982365243.0;3287260.0
149899;"Germany";"Egypt";"5";"142";"LMICs";3.8207;0.0;"WATER RESOURCES POLICY/ADMIN. MGMT";"Kreditanstalt für Wiederaufbau";"11";"140";"IRRIGATION IMPROVEMENT PROJECT";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"CENTRAL BANK OF EGYPT";"1996-01-01";"2004-06-01";"";"1996-09-01";0.0;0.0;63601629.0;1001450.0
156318;"Germany";"Tanzania";"5";"282";"LDCs";6.267930000000001;"";"SUPPORT TO THE WATER SECTOR REFORM";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"SUPPORT TO THE WATER SECTOR REFORM";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"";"";"";"2003-12-31";0.0;0.0;36337782.0;947300.0
156323;"Germany";"Tanzania";"5";"282";"LDCs";1.0684;"";"IMPROVEMENT OF WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"WATER SUPPLY HAI DISTRICT";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"MINIST.O.FINANCE THE TREASURY";"2003-11-01";"2008-12-01";"";"2003-11-01";0.0;0.0;36337782.0;947300.0
156326;"Germany";"Tanzania";"5";"282";"LDCs";6.695289999999999;"";"WATER SUPPLY PROGRAMME";"Kreditanstalt für Wiederaufbau";"11";"140";"WS REGIONAL CENTRES I";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"MINIST.O.FINANCE THE TREASURY";"2003-07-01";"2008-12-01";"";"2003-07-01";0.0;0.0;36337782.0;947300.0
156328;"Germany";"Tanzania";"5";"282";"LDCs";9.61557;"";"IMPROVEMENT OF WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"WATER SUPPLY HAI PHASE IV";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"MINIST.O.FINANCE THE TREASURY";"2003-11-01";"2008-12-01";"";"2003-11-01";0.0;0.0;36337782.0;947300.0
156349;"Germany";"Tanzania";"5";"282";"LDCs";0.00854717;"";"FED. STATES CONTRIB.:  WATER, SMALL SYSTEMS";"Federal states and local governments";"11";"140";"FED. STATES CONTRIB.:  WATER, SMALL SYSTEMS";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"";"";"";"2003-12-31";0.0;0.0;36337782.0;947300.0
160167;"Germany";"Egypt";"5";"142";"LMICs";0.0142453;"";"FED. STATES CONTRIB.:  WASTE MGMT";"Federal states and local governments";"11";"140";"FED. STATES CONTRIB.:  WASTE MGMT";"Waste management/disposal";"I.4. Water Supply & Sanitation";"";"";"";"";"";"2003-12-31";0.0;0.0;72826097.0;1001450.0
162126;"Germany";"Burundi";"5";"228";"LDCs";4.98585;"";"URBAN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"RURAL WATER SUPPLY, IV";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"MINISTERE DES FINANCES";"2003-08-01";"2006-12-01";"";"2003-08-01";0.0;0.0;6909154.0;27830.0
166309;"Germany";"Kenya";"5";"248";"LMICs";0.358981;"";"GOVERNMENT CONTRIBUTIONS VIA NGO";"Foundations/Societies/Misc. (non federal)";"11";"140";"GOVERNMENT CONTRIBUTIONS VIA NGO";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"";"";"";"2003-12-31";0.0;0.0;34678779.0;580370.0
172172;"Germany";"Rwanda";"5";"266";"LDCs";0.5826319999999999;"";"WATER SUPPLY PROGRAMME";"Kreditanstalt für Wiederaufbau";"11";"140";"RURAL WATER SUPPLY PROGR. II";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"MIN.DES AFFAIRES ETRANGERES ET";"2003-06-01";"2007-12-01";"";"2003-06-01";0.0;0.0;8557161.0;26340.0
172183;"Germany";"Rwanda";"5";"266";"LDCs";0.024188499999999998;"";"FED. STATES CONTRIB.:  WATER, SMALL SYSTEMS";"Federal states and local governments";"11";"140";"FED. STATES CONTRIB.:  WATER, SMALL SYSTEMS";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"";"";"";"2003-12-31";0.0;0.0;8557161.0;26340.0
172195;"Germany";"Rwanda";"5";"266";"LDCs";3.0584599999999997;"";"WATER SUPPLY PROGRAMME";"Kreditanstalt für Wiederaufbau";"11";"140";"RURAL WATER SUPPLY PROGRAMMEII";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"MIN.DES AFFAIRES ETRANGERES ET";"2003-06-01";"2007-12-01";"";"2003-06-01";0.0;0.0;8557161.0;26340.0
174397;"Germany";"Uganda";"5";"285";"LDCs";0.059089499999999996;"";"WATER SUPPLY & SANIT. - LARGE SYST.";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"REHABILITIERUNG DER WASSERVERSORGUNG (ALT 8220071)";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"";"";"";"2003-12-31";0.0;0.0;25980552.0;241550.0
180669;"Germany";"Bolivia";"5";"428";"LMICs";6.41038;"";"WATER SUPPLY & SANIT. - LARGE SYST.";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"KV-PROGRAMM  TRINKWASSERVER- UND  ABWASERENTSORGUNG IN KLEINEN UND MITTLEREN STAEDTEN";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"";"";"";"2003-12-31";0.0;0.0;8905823.0;1098580.0
180685;"Germany";"Bolivia";"5";"428";"LMICs";2.56415;"";"ADVISORY SERVICES TO THE NATIONAL IRRIGATION PROGRAMME";"Deutsche Gesellschaft für Internationale Zusammenarbeit";"11";"140";"ADVISORY SERVICES TO THE NATIONAL IRRIGATION PROGRAMME";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"";"";"";"2003-12-31";0.0;0.0;8905823.0;1098580.0
186489;"Germany";"Lebanon";"5";"555";"UMICs";0.16783800000000001;"";"DRINKING WATER STERILISATION";"Federal Ministries";"11";"140";"DRINKING WATER STERILISATION";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"";"";"";"2003-12-31";0.0;0.0;4388375.0;10450.0
190203;"Germany";"India";"5";"645";"LMICs";0.00427359;"";"FED. STATES CONTRIB.:  WATER";"Federal states and local governments";"11";"140";"FED. STATES CONTRIB.:  WATER";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"";"";"";"2003-12-31";0.0;0.0;1111523144.0;3287260.0
