"";"DonorName";"RecipientName";"DonorCode";"RecipientCode";"IncomegroupName";"USD_Commitment_Defl";"USD_Received_Defl";"ShortDescription";"AgencyName";"FlowCode";"SectorCode";"ProjectTitle";"PurposeName";"SectorName";"ChannelName";"ChannelReportedName";"ExpectedStartDate";"CompletionDate";"LongDescription";"CommitmentDate";"USD_GrantEquiv";"USD_Disbursement_Defl";"Recipientstat SI.SPR.PCAP";"Recipientstat SI.POV.XPND.MD";"Recipientstat SP.POP.TOTL";"Recipientstat AG.SRF.TOTL.K2"
14315;"Germany";"Tanzania";"5";"282";"LDCs";4.04825;0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1978-01-01";"";"";"1978-03-01";"";3.15503;"";"";"";""
14323;"Germany";"Sudan";"5";"278";"LDCs";2.61178;0.0;"CONSULTANT,SEWERAGE SYST.";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1978-01-02";"";"";"1978-05-01";"";0.0;"";"";"";""
14324;"Germany";"Rwanda";"5";"266";"LDCs";5.22355;"";"KIGALI SEWAGE DRAINS";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1979-01-02";"";"";"1978-12-01";"";"";"";"";"";""
17826;"Germany";"Tanzania";"5";"282";"LDCs";2.15273;"";"WATER SUPPLY TABORA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1980-01-02";"";"";"1979-12-01";"";"";"";"";"";""
21687;"Germany";"Kenya";"5";"248";"LMICs";10.6882;0.0;"TOWN WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1980-01-03";"";"";"1980-09-01";"";0.0;0.0;0.0;16417197.0;580370.0
21782;"Germany";"Tanzania";"5";"282";"LDCs";2.37515;"";"WATER SUP. SYSTEM, HANDENI DISTRICT";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1980-01-02";"";"";"1980-04-01";"";"";0.0;0.0;18538259.0;947300.0
25995;"Germany";"Burundi";"5";"228";"LDCs";7.97984;"";"BUJUMBURA WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1981-01-03";"";"";"1981-02-01";"";"";0.0;0.0;4266520.0;27830.0
26032;"Germany";"Kenya";"5";"248";"LMICs";11.3998;0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1982-01-03";"";"";"1981-11-01";"";0.0;0.0;0.0;17063876.0;580370.0
26081;"Germany";"Burundi";"5";"228";"LDCs";3.41993;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1981-01-03";"";"";"1981-02-01";"";"";0.0;0.0;4266520.0;27830.0
26123;"Germany";"India";"5";"645";"LMICs";26.2195;0.0;"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1982-01-03";"";"";"1981-12-01";"";0.0;0.0;0.0;715384993.0;3287260.0
30956;"Germany";"Kenya";"5";"248";"LMICs";1.52606;0.0;"WATER SUPPLY, MALINDI";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-01";"";"";"1982-10-01";"";0.0;0.0;0.0;17736326.0;580370.0
30961;"Germany";"Kenya";"5";"248";"LMICs";15.5876;0.0;"WATER SUPPLY KERICHO";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-04";"";"";"1982-10-01";"";0.0;0.0;0.0;17736326.0;580370.0
30962;"Germany";"Kenya";"5";"248";"LMICs";14.1705;0.0;"MIN. WATER DEV. WORKSHOP";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-03";"";"";"1982-10-01";"";0.0;0.0;0.0;17736326.0;580370.0
30981;"Germany";"Rwanda";"5";"266";"LDCs";4.68718;"";"WATER SUPPLY SYST. MODERNISATION";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-04";"";"";"1982-10-01";"";"";0.0;0.0;5504842.0;26340.0
31092;"Germany";"Kenya";"5";"248";"LMICs";41.4216;0.0;"BRIDGE-DAM-SYST.,GARSEN";"Kreditanstalt für Wiederaufbau";"13";"140";"";"River basins development";"I.4. Water Supply & Sanitation";"";"";"1983-01-04";"";"";"1982-10-01";"";0.0;0.0;0.0;17736326.0;580370.0
36266;"Germany";"Tanzania";"5";"282";"LDCs";21.2054;"";"WATER SUPPLY, ARUSHA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-05";"";"";"1983-05-01";"";"";0.0;0.0;20344547.0;947300.0
36267;"Germany";"Tanzania";"5";"282";"LDCs";1.06027;"";"WATER SUPPLY, ARUSHA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1983-01-02";"";"";"1983-05-01";"";"";0.0;0.0;20344547.0;947300.0
36337;"Germany";"Egypt";"5";"142";"LMICs";10.0726;0.0;"CAIRO SEWERAGE DISPOSAL";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1983-01-03";"";"";"1983-07-01";"";0.0;0.0;0.0;46728286.0;1001450.0
36347;"Germany";"Colombia";"5";"437";"UMICs";6.89176;0.0;"WATER AND SEWERAGE";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1984-01-03";"";"";"1983-03-01";"";1.14297;0.0;0.0;28714183.0;1141750.0
36394;"Germany";"Sudan";"5";"278";"LDCs";4.13505;"";"WATER SUPPLY REFUGEE AREA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1984-01-04";"";"";"1983-10-01";"";"";0.0;0.0;16107620.0;0.0
41748;"Germany";"Burundi";"5";"228";"LDCs";21.8314;"";"WATER SUP./BUJUMBURA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1984-01-01";"";"";"1984-04-01";"";"";0.0;0.0;4621103.0;27830.0
41781;"Germany";"Kenya";"5";"248";"LMICs";32.0194;0.0;"WATER SUPPLY/MALINDI REGION";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1984-01-01";"";"";"1984-09-01";"";0.0;0.0;0.0;19146400.0;580370.0
41855;"Germany";"Tanzania";"5";"282";"LDCs";4.15837;"";"WATER SUP,TANGA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1984-01-01";"";"";"1984-05-01";"";"";0.0;0.0;20981776.0;947300.0
47749;"Germany";"Ethiopia";"5";"238";"LDCs";10.0778;"";"WATER SUPPLY, 12 PROVINC. TOWNS";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1985-01-01";"";"";"1985-05-01";"";"";0.0;0.0;40652141.0;1104300.0
47767;"Germany";"Egypt";"5";"142";"LMICs";95.0778;0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1985-01-01";"";"";"1985-06-01";"";0.0;0.0;0.0;49258732.0;1001450.0
47769;"Germany";"Egypt";"5";"142";"LMICs";6.71856;"";"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1985-01-01";"";"";"1985-06-01";"";"";0.0;0.0;49258732.0;1001450.0
47791;"Germany";"Kenya";"5";"248";"LMICs";5.08982;"";"WATER SUPPLY, KITALE";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1985-01-01";"";"";"1985-05-01";"";"";0.0;0.0;19877083.0;580370.0
47792;"Germany";"Kenya";"5";"248";"LMICs";5.497;"";"WATER SUPPLY, KERICHO";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1985-01-01";"";"";"1985-05-01";"";"";0.0;0.0;19877083.0;580370.0
47816;"Germany";"Rwanda";"5";"266";"LDCs";3.35928;"";"CANAL PROTECTION";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1985-01-01";"";"";"1985-11-01";"";"";0.0;0.0;6146891.0;26340.0
47931;"Germany";"Sudan";"5";"278";"LDCs";10.7904;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1985-01-01";"";"";"1985-07-01";"";"";0.0;0.0;17210187.0;0.0
47932;"Germany";"Sudan";"5";"278";"LDCs";24.3293;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1985-01-01";"";"";"1985-02-01";"";"";0.0;0.0;17210187.0;0.0
53890;"Germany";"Bolivia";"5";"428";"LMICs";4.44746;0.0;"SANITATION PROG.";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1987-01-01";"";"";"1986-10-01";"";0.0;0.0;0.0;6309130.0;1098580.0
53915;"Germany";"Sudan";"5";"278";"LDCs";2.96497;"";"REFUGEES AID, WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1986-01-01";"";"";"1986-03-01";"";"";0.0;0.0;17757491.0;0.0
53916;"Germany";"Sudan";"5";"278";"LDCs";11.0692;"";"REFUGEES AID, WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1986-01-01";"";"";"1986-03-01";"";"";0.0;0.0;17757491.0;0.0
53955;"Germany";"Burundi";"5";"228";"LDCs";7.41243;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1986-01-01";"";"";"1986-01-01";"";"";0.0;0.0;4886743.0;27830.0
54017;"Germany";"Colombia";"5";"437";"UMICs";11.8599;0.0;"EROSION CONTROL PROG.";"Kreditanstalt für Wiederaufbau";"13";"140";"";"River basins development";"I.4. Water Supply & Sanitation";"";"";"1987-01-01";"";"";"1986-01-01";"";0.0;0.0;0.0;30572479.0;1141750.0
60139;"Germany";"Kenya";"5";"248";"LMICs";2.53716;"";"WATER AND SEWERAGE";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1987-02-01";"";"";0.0;0.0;21382112.0;580370.0
60212;"Germany";"India";"5";"645";"LMICs";43.9124;0.0;"RURAL WATER SUP. MADHYA PRADESH";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1988-01-01";"";"";"1987-08-01";"";0.0;0.0;0.0;819682102.0;3287260.0
66580;"Germany";"Burundi";"5";"228";"LDCs";4.79805;"";"GITEGA WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1988-01-01";"";"";"1988-01-01";"";"";0.0;0.0;5168698.0;27830.0
66602;"Germany";"Tanzania";"5";"282";"LDCs";1.91922;"";"WATER SUPPLY SYST. EXT., ARUSHA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1989-01-01";"";"";"1988-11-01";"";"";0.0;0.0;23670808.0;947300.0
66604;"Germany";"Sudan";"5";"278";"LDCs";10.0759;"";"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1988-01-01";"";"";"1988-07-01";"";"";0.0;0.0;18867560.0;0.0
66654;"Germany";"Bolivia";"5";"428";"LMICs";13.9144;0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1988-12-01";"";0.0;0.0;0.0;6580312.0;1098580.0
66824;"Germany";"Burundi";"5";"228";"LDCs";5.27786;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1988-01-01";"";"";"1988-07-01";"";"";0.0;0.0;5168698.0;27830.0
66825;"Germany";"Burundi";"5";"228";"LDCs";5.27786;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1989-01-01";"";"";"1988-07-01";"";"";0.0;0.0;5168698.0;27830.0
73232;"Germany";"Bolivia";"5";"428";"LMICs";6.99567;0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"REPUBLIC OF BOLIVIA";"";"";"";"1989-05-01";"";0.225727;0.0;0.0;6721115.0;1098580.0
73358;"Germany";"Kenya";"5";"248";"LMICs";33.1128;0.0;"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1989-01-01";"";"";"1989-01-01";"";0.0;0.0;0.0;22935092.0;580370.0
81234;"Germany";"Egypt";"5";"142";"LMICs";3.1574;"";"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1990-01-01";"";"";"1990-07-01";"";"";0.0;0.0;56134475.0;1001450.0
81357;"Germany";"Tanzania";"5";"282";"LDCs";1.80423;"";"WATER SUPPLY, TABORA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"1990-01-01";"";"";"1990-11-01";"";"";0.0;0.0;25203845.0;947300.0
81358;"Germany";"Tanzania";"5";"282";"LDCs";3.60846;"";"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1990-04-01";"";"";0.0;0.0;25203845.0;947300.0
81504;"Germany";"Kenya";"5";"248";"LMICs";9.92326;0.0;"SANITATION PROJECT";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"1990-01-01";"";"";"1990-01-01";"";0.0;0.0;0.0;23724579.0;580370.0
81554;"Germany";"Uganda";"5";"285";"LDCs";10.8254;"";"RURAL WATER & SEWERAGE";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1990-01-01";"";"";"1990-03-01";"";"";0.0;0.0;17354392.0;241550.0
81566;"Germany";"Rwanda";"5";"266";"LDCs";23.0192;"";"RURAL WATER & SEWERAGE";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"1990-01-01";"";"";"1990-04-01";"";"";0.0;0.0;7288882.0;26340.0
95565;"Germany";"Tanzania";"5";"282";"LDCs";1.31267;"";"WATER SUPPLY, ARUSHA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1991-04-01";"";"";0.0;0.0;26056594.0;947300.0
95567;"Germany";"Tanzania";"5";"282";"LDCs";0.875116;"";"WATER SUPPLY, ARUSHA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1991-04-01";"";"";0.0;0.0;26056594.0;947300.0
95597;"Germany";"Burundi";"5";"228";"LDCs";8.3136;"";"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1991-03-01";"";"";0.0;0.0;5564926.0;27830.0
95740;"Germany";"Bolivia";"5";"428";"LMICs";20.1277;"";"SEWERAGE TREATMENT";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1991-06-01";"";"";0.0;0.0;7011453.0;1098580.0
95763;"Germany";"Tanzania";"5";"282";"LDCs";2.18779;"";"WATER & SEWERAGE, ARUSHA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1991-04-01";"";"";0.0;0.0;26056594.0;947300.0
95874;"Germany";"Sudan";"5";"278";"LDCs";4.37558;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1991-11-01";"";"";0.0;0.0;20891441.0;0.0
111039;"Germany";"Ethiopia";"5";"238";"LDCs";10.8039;"";"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1992-11-01";"";"";0.0;0.0;51423585.0;1104300.0
111336;"Germany";"Burundi";"5";"228";"LDCs";23.2698;"";"WATER AND SEWERAGE";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1992-01-01";"";"";0.0;0.0;5685565.0;27830.0
111348;"Germany";"Egypt";"5";"142";"LMICs";16.6213;"";"WATER SUPPLY, KAFREL SHEIKH";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1992-12-01";"";"";0.0;0.0;58666814.0;1001450.0
111384;"Germany";"Tanzania";"5";"282";"LDCs";1.66213;0.0;"WATER AND SEWERAGE";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Water supply and sanitation - large systems";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1992-01-01";"";0.668177;0.0;0.0;26961197.0;947300.0
111545;"Germany";"Sudan";"5";"278";"LDCs";1.91145;0.0;"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1992-10-01";"";0.49116;0.0;0.0;21696244.0;0.0
111573;"Germany";"Sudan";"5";"278";"LDCs";2.24388;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1992-10-01";"";"";0.0;0.0;21696244.0;0.0
111583;"Germany";"Tanzania";"5";"282";"LDCs";0.831066;"";"RURAL WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1992-12-01";"";"";0.0;0.0;26961197.0;947300.0
128453;"Germany";"Bolivia";"5";"428";"LMICs";1.60003;"";"WATER SUPPLY";"Kreditanstalt für Wiederaufbau";"13";"140";"";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"REPUBLIC OF BOLIVIA";"";"";"";"1993-12-01";"";"";0.0;0.0;7312850.0;1098580.0
128913;"Germany";"Burundi";"5";"228";"LDCs";1.60003;"";"DRINKING WATER,RUMONGE/MUYINGA";"Kreditanstalt für Wiederaufbau";"11";"140";"";"Basic drinking water supply and basic sanitation";"I.4. Water Supply & Sanitation";"";"";"";"";"";"1993-01-01";"";"";0.0;0.0;5798053.0;27830.0
147680;"Germany";"Bolivia";"5";"428";"LMICs";1.56783;"";"REHABILITATION OF CANAL RAVELO";"Kreditanstalt für Wiederaufbau";"13";"140";"REHABILITATION CANAL RAVELO";"Water sector policy and administrative management";"I.4. Water Supply & Sanitation";"";"MINISTERIO DE HACIENDA";"";"";"";"1994-03-01";"";"";0.0;0.0;7466793.0;1098580.0
